comune,mese,tot_rsu
ACQUAVIVA DELLE FONTI,2014-03-01,35.24778917484282
ACQUAVIVA DELLE FONTI,2014-04-01,35.0021754737094
ACQUAVIVA DELLE FONTI,2014-05-01,36.85176322144147
ACQUAVIVA DELLE FONTI,2014-06-01,38.13061544151239
ACQUAVIVA DELLE FONTI,2014-07-01,39.22346465942959
ACQUAVIVA DELLE FONTI,2014-08-01,39.15412143494246
ACQUAVIVA DELLE FONTI,2014-09-01,39.433289098701245
ACQUAVIVA DELLE FONTI,2014-10-01,38.9212913611939
ACQUAVIVA DELLE FONTI,2014-11-01,37.93237539974329
ACQUAVIVA DELLE FONTI,2014-12-01,36.2932647333957
ACQUAVIVA DELLE FONTI,2015-01-01,36.036613222529205
ACQUAVIVA DELLE FONTI,2015-02-01,34.86773119846847
ACQUAVIVA DELLE FONTI,2015-03-01,35.86521308764984
ACQUAVIVA DELLE FONTI,2015-04-01,35.35313376987839
ACQUAVIVA DELLE FONTI,2015-05-01,37.66707638088194
ACQUAVIVA DELLE FONTI,2015-06-01,37.65015663410708
ACQUAVIVA DELLE FONTI,2015-07-01,38.87312637326778
ACQUAVIVA DELLE FONTI,2015-08-01,38.85354710988318
ACQUAVIVA DELLE FONTI,2015-09-01,38.8563534709683
ACQUAVIVA DELLE FONTI,2015-10-01,38.86859051058368
ACQUAVIVA DELLE FONTI,2015-11-01,37.662214197141424
ACQUAVIVA DELLE FONTI,2015-12-01,37.164574586116125
ACQUAVIVA DELLE FONTI,2016-01-01,36.010572802227685
ACQUAVIVA DELLE FONTI,2016-02-01,35.92504405334262
ACQUAVIVA DELLE FONTI,2016-03-01,36.16487371375117
ACQUAVIVA DELLE FONTI,2016-04-01,36.998248743663936
ACQUAVIVA DELLE FONTI,2016-05-01,37.6932310135532
ACQUAVIVA DELLE FONTI,2016-06-01,37.857598929666935
ACQUAVIVA DELLE FONTI,2016-07-01,38.48438009876651
ACQUAVIVA DELLE FONTI,2016-08-01,39.660033284747755
ACQUAVIVA DELLE FONTI,2016-09-01,41.180803619988254
ACQUAVIVA DELLE FONTI,2016-10-01,42.18825461744295
ACQUAVIVA DELLE FONTI,2016-11-01,41.189875345356455
ACQUAVIVA DELLE FONTI,2016-12-01,38.06991972502012
ACQUAVIVA DELLE FONTI,2017-01-01,32.9693584528031
ACQUAVIVA DELLE FONTI,2017-02-01,29.160000652642115
ACQUAVIVA DELLE FONTI,2017-03-01,28.18740074401201
ACQUAVIVA DELLE FONTI,2017-04-01,27.91030521896143
ACQUAVIVA DELLE FONTI,2017-05-01,29.541959449170054
ACQUAVIVA DELLE FONTI,2017-06-01,29.263118106467683
ACQUAVIVA DELLE FONTI,2017-07-01,30.36450062001001
ACQUAVIVA DELLE FONTI,2017-08-01,29.691137120107907
ACQUAVIVA DELLE FONTI,2017-09-01,29.911077512128266
ACQUAVIVA DELLE FONTI,2017-10-01,29.84907651141036
ACQUAVIVA DELLE FONTI,2017-11-01,29.903164226510324
ACQUAVIVA DELLE FONTI,2017-12-01,29.290170122044074
ACQUAVIVA DELLE FONTI,2018-01-01,29.440277807992693
ACQUAVIVA DELLE FONTI,2018-02-01,29.068516544477564
ACQUAVIVA DELLE FONTI,2018-03-01,30.328931624861315
ACQUAVIVA DELLE FONTI,2018-04-01,30.011910718558966
ACQUAVIVA DELLE FONTI,2018-05-01,31.781060325885964
ACQUAVIVA DELLE FONTI,2018-06-01,31.23757260643505
ACQUAVIVA DELLE FONTI,2018-07-01,33.09433941740814
ACQUAVIVA DELLE FONTI,2018-08-01,32.4943981551983
ACQUAVIVA DELLE FONTI,2018-09-01,32.03118541562425
ACQUAVIVA DELLE FONTI,2018-10-01,31.937890225596625
ACQUAVIVA DELLE FONTI,2018-11-01,32.51645745861161
ACQUAVIVA DELLE FONTI,2018-12-01,33.220495137816265
ACQUAVIVA DELLE FONTI,2019-01-01,32.86444623316727
ACQUAVIVA DELLE FONTI,2019-02-01,31.130212978876152
ACQUAVIVA DELLE FONTI,2019-03-01,30.65721060760981
ACQUAVIVA DELLE FONTI,2019-04-01,30.154757761002458
ACQUAVIVA DELLE FONTI,2019-05-01,32.1887169056062
ACQUAVIVA DELLE FONTI,2019-06-01,32.659108708421265
ACQUAVIVA DELLE FONTI,2019-07-01,33.58822633628473
