comune,mese,tot_rsu
ACQUAVIVA DELLE FONTI,2014-03-01,0.5384020843503592
ACQUAVIVA DELLE FONTI,2014-04-01,0.5266565835412276
ACQUAVIVA DELLE FONTI,2014-05-01,0.6170496474783806
ACQUAVIVA DELLE FONTI,2014-06-01,0.6732158332109773
ACQUAVIVA DELLE FONTI,2014-07-01,0.712730002154579
ACQUAVIVA DELLE FONTI,2014-08-01,0.710564695738684
ACQUAVIVA DELLE FONTI,2014-09-01,0.7189137237881695
ACQUAVIVA DELLE FONTI,2014-10-01,0.7046223389360207
ACQUAVIVA DELLE FONTI,2014-11-01,0.666403040208638
ACQUAVIVA DELLE FONTI,2014-12-01,0.5897240822214784
ACQUAVIVA DELLE FONTI,2015-01-01,0.5784351146004862
ACQUAVIVA DELLE FONTI,2015-02-01,0.5193291490381926
ACQUAVIVA DELLE FONTI,2015-03-01,0.5695888071358901
ACQUAVIVA DELLE FONTI,2015-04-01,0.5437452705882455
ACQUAVIVA DELLE FONTI,2015-05-01,0.6540867792347416
ACQUAVIVA DELLE FONTI,2015-06-01,0.6533422608110906
ACQUAVIVA DELLE FONTI,2015-07-01,0.703026476212958
ACQUAVIVA DELLE FONTI,2015-08-01,0.7024128244665059
ACQUAVIVA DELLE FONTI,2015-09-01,0.7025551806536241
ACQUAVIVA DELLE FONTI,2015-10-01,0.7029205531243798
ACQUAVIVA DELLE FONTI,2015-11-01,0.6538182321830314
ACQUAVIVA DELLE FONTI,2015-12-01,0.6292428455280206
ACQUAVIVA DELLE FONTI,2016-01-01,0.5772691463618265
ACQUAVIVA DELLE FONTI,2016-02-01,0.5727383763484097
ACQUAVIVA DELLE FONTI,2016-03-01,0.5839196226418617
ACQUAVIVA DELLE FONTI,2016-04-01,0.6223375433256128
ACQUAVIVA DELLE FONTI,2016-05-01,0.6551997916205465
ACQUAVIVA DELLE FONTI,2016-06-01,0.6627128225507584
ACQUAVIVA DELLE FONTI,2016-07-01,0.6877223578345446
ACQUAVIVA DELLE FONTI,2016-08-01,0.7271873271330961
ACQUAVIVA DELLE FONTI,2016-09-01,0.7700367092067635
ACQUAVIVA DELLE FONTI,2016-10-01,0.7966487884084664
ACQUAVIVA DELLE FONTI,2016-11-01,0.7705210474910328
ACQUAVIVA DELLE FONTI,2016-12-01,0.6713193109387197
ACQUAVIVA DELLE FONTI,2017-01-01,0.4004380878840532
ACQUAVIVA DELLE FONTI,2017-02-01,0.17221391307795117
ACQUAVIVA DELLE FONTI,2017-03-01,0.13021058509735445
ACQUAVIVA DELLE FONTI,2017-04-01,0.12033543128483651
ACQUAVIVA DELLE FONTI,2017-05-01,0.1909823926264957
ACQUAVIVA DELLE FONTI,2017-06-01,0.17635176745330294
ACQUAVIVA DELLE FONTI,2017-07-01,0.23718576895738877
ACQUAVIVA DELLE FONTI,2017-08-01,0.19882385742795403
ACQUAVIVA DELLE FONTI,2017-09-01,0.21021161988759665
ACQUAVIVA DELLE FONTI,2017-10-01,0.20727020537622232
ACQUAVIVA DELLE FONTI,2017-11-01,0.20954175086905621
ACQUAVIVA DELLE FONTI,2017-12-01,0.1777572217134288
ACQUAVIVA DELLE FONTI,2018-01-01,0.18561015433496644
ACQUAVIVA DELLE FONTI,2018-02-01,0.16840618776948482
ACQUAVIVA DELLE FONTI,2018-03-01,0.23452907860320835
ACQUAVIVA DELLE FONTI,2018-04-01,0.21689899228123055
ACQUAVIVA DELLE FONTI,2018-05-01,0.3230910792347429
ACQUAVIVA DELLE FONTI,2018-06-01,0.2888484955831032
ACQUAVIVA DELLE FONTI,2018-07-01,0.4093822382713646
ACQUAVIVA DELLE FONTI,2018-08-01,0.370869468266833
ACQUAVIVA DELLE FONTI,2018-09-01,0.3397869804287037
ACQUAVIVA DELLE FONTI,2018-10-01,0.3338185055200149
ACQUAVIVA DELLE FONTI,2018-11-01,0.37301443604905965
ACQUAVIVA DELLE FONTI,2018-12-01,0.41921283541399446
ACQUAVIVA DELLE FONTI,2019-01-01,0.3932282105332031
ACQUAVIVA DELLE FONTI,2019-02-01,0.28318249995067185
ACQUAVIVA DELLE FONTI,2019-03-01,0.2538497231087406
ACQUAVIVA DELLE FONTI,2019-04-01,0.22487337980101155
ACQUAVIVA DELLE FONTI,2019-05-01,0.35014683395477125
ACQUAVIVA DELLE FONTI,2019-06-01,0.3808296445870599
ACQUAVIVA DELLE FONTI,2019-07-01,0.4429344062511902
ACQUAVIVA DELLE FONTI,2019-08-01,0.37520729472662495
ACQUAVIVA DELLE FONTI,2019-09-01,0.42305755433624964
ACQUAVIVA DELLE FONTI,2019-10-01,0.4187320276151851
ACQUAVIVA DELLE FONTI,2019-11-01,0.4033899775958924
ACQUAVIVA DELLE FONTI,2019-12-01,0.39345027938695637
ACQUAVIVA DELLE FONTI,2020-01-01,0.3448138966710011
ACQUAVIVA DELLE FONTI,2020-02-01,0.2952011919915798
ACQUAVIVA DELLE FONTI,2020-03-01,0.2211952228102846
ACQUAVIVA DELLE FONTI,2020-04-01,0.13103145162574276
ACQUAVIVA DELLE FONTI,2020-05-01,0.22150082759320475
ACQUAVIVA DELLE FONTI,2020-06-01,0.2983981885650259
ACQUAVIVA DELLE FONTI,2020-07-01,0.49430772073360746
ACQUAVIVA DELLE FONTI,2020-08-01,0.46077545550991433
ACQUAVIVA DELLE FONTI,2020-09-01,0.4668014404558814
ACQUAVIVA DELLE FONTI,2020-10-01,0.41449659490058605
ACQUAVIVA DELLE FONTI,2020-11-01,0.3963918612038755
ACQUAVIVA DELLE FONTI,2020-12-01,0.44665003983621027
ACQUAVIVA DELLE FONTI,2021-01-01,0.39296247076614477
ACQUAVIVA DELLE FONTI,2021-02-01,0.35656292129942946
ACQUAVIVA DELLE FONTI,2021-03-01,0.3148869643420932
ACQUAVIVA DELLE FONTI,2021-04-01,0.3435192505949857
ACQUAVIVA DELLE FONTI,2021-05-01,0.4690245843987095
ACQUAVIVA DELLE FONTI,2021-06-01,0.44320011476003174
ACQUAVIVA DELLE FONTI,2021-07-01,0.4719534378918222
ACQUAVIVA DELLE FONTI,2021-08-01,0.41149116968462307
ACQUAVIVA DELLE FONTI,2021-09-01,0.4627284717523431
ACQUAVIVA DELLE FONTI,2021-10-01,0.436375271407033
ACQUAVIVA DELLE FONTI,2021-11-01,0.4451417676630681
ACQUAVIVA DELLE FONTI,2021-12-01,0.4502858444328262
ADELFIA,2014-03-01,0.39669851967959596
ADELFIA,2014-04-01,0.4589770027589228
ADELFIA,2014-05-01,0.2530158127834765
